payment_id,client_id,provider_id,payment_date,amount,currency,status,failure_reason,created_at
PMT000001,C0491,P003,2025-12-03,915.76,MXN,Successful,,2025-12-03T04:47:25
PMT000002,C0388,P009,2024-06-10,2742.61,MXN,Successful,,2024-06-10T10:00:43
PMT000003,C0242,P018,2024-07-01,1161.98,MXN,Successful,,2024-07-01T08:29:42
PMT000004,C0252,P009,2025-03-15,1123.24,USD,Successful,,2025-03-15T15:02:27
PMT000005,C0226,P014,2025-11-07,6488.47,MXN,Successful,,2025-11-07T13:08:32
PMT000006,C0175,P008,2024-12-03,155.15,MXN,Failed,Provider timeout,2024-12-03T00:40:38
PMT000007,C0275,P007,2024-05-25,657.16,MXN,Successful,,2024-05-25T05:30:25
PMT000008,C0224,P017,2026-03-06,3282.06,MXN,Successful,,2026-03-06T06:34:37
PMT000009,C0320,P014,2026-02-09,5468.69,MXN,Successful,,2026-02-09T19:01:13
PMT000010,C0450,P007,2025-07-27,1197.54,MXN,Failed,Invalid account details,2025-07-27T03:16:34
PMT000011,C0440,P019,2025-08-19,940.78,MXN,Successful,,2025-08-19T08:26:37
PMT000012,C0032,P010,2026-02-05,3696.49,USD,Successful,,2026-02-05T21:26:11
PMT000013,C0202,P004,2025-07-21,9380.4,MXN,Successful,,2025-07-21T05:59:01
PMT000014,C0100,P010,2025-11-06,1844.77,MXN,Successful,,2025-11-06T18:01:10
PMT000015,C0185,P014,2025-03-03,1270.16,MXN,Successful,,2025-03-03T18:01:59
PMT000016,C0158,P008,2024-09-24,1331.36,MXN,Successful,,2024-09-24T06:07:06
PMT000017,C0100,P018,2025-12-01,7627.38,MXN,Successful,,2025-12-01T04:09:06
PMT000018,C0393,P012,2025-08-21,74.82,MXN,Successful,,2025-08-21T01:21:06
PMT000019,C0261,P009,2024-11-07,239.43,MXN,Pending,,2024-11-07T17:42:36
PMT000020,C0460,P018,2025-07-06,1165.11,MXN,Successful,,2025-07-06T07:03:50
PMT000021,C0013,P009,2025-11-22,935.51,MXN,Successful,,2025-11-22T05:43:33
PMT000022,C0030,P008,2024-10-25,1817.35,MXN,Successful,,2024-10-25T00:45:31
PMT000023,C0215,P002,2025-10-24,250.0,MXN,Pending,,2025-10-24T04:57:29
PMT000024,C0033,P007,2024-05-27,141.08,MXN,Successful,,2024-05-27T19:23:57
PMT000025,C0143,P008,2025-07-07,6705.45,MXN,Successful,,2025-07-07T12:58:39
PMT000026,C0321,P004,2026-04-01,5255.56,USD,Successful,,2026-04-01T13:17:54
PMT000027,C0110,P013,2025-12-18,3256.26,MXN,Successful,,2025-12-18T10:35:06
